 Masse A  
t x y 
436.000 -26.34 58.71
437.000 -26.33 58.75
438.000 -26.36 58.71
439.000 -26.38 58.76
440.000 -26.39 58.68
441.000 -26.47 58.80
442.000 -26.81 58.77
443.000 -26.88 58.73
444.000 -26.98 58.79
445.000 -26.97 58.73
446.000 -26.98 58.74
447.000 -27.00 58.76
448.000 -27.09 58.69
449.000 -27.07 58.75
450.000 -27.15 58.67
451.000 -27.18 58.68
452.000 -27.19 58.69
453.000 -27.21 58.63
454.000 -27.23 58.70
455.000 -27.27 58.62
456.000 -27.37 58.65
457.000 -27.35 58.62
458.000 -27.38 58.64
459.000 -27.40 58.61
460.000 -27.41 58.68
461.000 -27.85 58.71
462.000 -27.98 58.70
463.000 -28.02 58.66
464.000 -28.02 58.71
465.000 -28.02 58.70
466.000 -28.07 58.69
467.000 -28.03 58.71
468.000 -28.19 58.68
469.000 -28.16 58.71
470.000 -28.17 58.70
471.000 -28.17 58.71
472.000 -28.14 58.74
473.000 -28.17 58.70
474.000 -28.20 58.71
475.000 -28.21 58.71
476.000 -28.18 58.70
477.000 -28.19 58.73
478.000 -28.23 58.72
479.000 -28.22 58.76
480.000 -28.25 58.76
481.000 -28.27 58.74
482.000 -28.20 58.76
483.000 -28.27 58.74
484.000 -28.24 58.73
485.000 -28.24 58.75
486.000 -28.26 58.74
487.000 -28.26 58.78
488.000 -28.28 58.74
489.000 -28.26 58.74
490.000 -28.28 58.76
491.000 -28.28 58.71
492.000 -28.38 58.78
493.000 -28.37 58.80
494.000 -28.37 58.76
495.000 -28.36 58.80
496.000 -28.39 58.74
497.000 -28.38 58.82
498.000 -28.39 58.75
499.000 -28.35 58.77
500.000 -28.32 58.79
501.000 -28.34 58.74
502.000 -28.34 58.79
503.000 -28.33 58.74
504.000 -28.31 58.74
505.000 -28.31 58.78
506.000 -28.33 58.72
507.000 -28.32 58.73
508.000 -28.29 58.73
509.000 -28.31 58.75
510.000 -28.28 58.78
511.000 -28.30 58.74
512.000 -28.31 58.75
513.000 -28.30 58.76
514.000 -28.23 58.71
515.000 -28.27 58.73
516.000 -28.24 58.70
517.000 -28.20 58.73
518.000 -28.22 58.73
519.000 -28.22 58.71
520.000 -28.19 58.75
521.000 -28.20 58.71
522.000 -28.19 58.73
523.000 -28.17 58.73
524.000 -28.17 58.73
525.000 -28.11 58.70
526.000 -28.15 58.70
527.000 -28.09 58.72
528.000 -28.07 58.72
529.000 -28.10 58.70
530.000 -28.10 58.69
531.000 -28.04 58.72
532.000 -28.03 58.71
533.000 -28.01 58.70
534.000 -28.01 58.70
535.000 -27.95 58.69
536.000 -27.94 58.68
537.000 -27.86 58.70
538.000 -27.89 58.68
539.000 -27.86 58.68
540.000 -27.82 58.70
541.000 -27.79 58.70
542.000 -27.77 58.69
543.000 -27.68 58.70
544.000 -27.74 58.67
545.000 -27.76 58.71
546.000 -27.71 58.67
547.000 -27.65 58.70
548.000 -27.58 58.75
549.000 -27.49 58.72
550.000 -27.40 58.71
551.000 -27.18 58.69
552.000 -27.03 58.74
553.000 -27.01 58.76
554.000 -26.94 58.71
555.000 -26.90 58.76
556.000 -26.86 58.75
557.000 -26.82 58.75
558.000 -26.78 58.77
559.000 -26.81 58.75
560.000 -26.78 58.77
561.000 -26.71 58.79
562.000 -26.66 58.78
563.000 -26.64 58.83
564.000 -26.54 58.88
565.000 -26.60 58.80
566.000 -26.54 58.83
567.000 -26.51 58.83
568.000 -26.45 58.89
569.000 -26.44 58.82
570.000 -26.43 58.83
571.000 -26.39 58.69
572.000 -26.08 58.71
573.000 -25.99 58.72
574.000 -25.93 58.69
575.000 -25.93 58.74
576.000 -25.70 58.84
577.000 -25.73 58.78
578.000 -25.74 58.79
579.000 -25.64 58.80
580.000 -25.67 58.80
581.000 -25.60 58.91
582.000 -25.54 58.89
583.000 -25.61 58.92
584.000 -25.49 58.91
585.000 -25.48 58.92
586.000 -25.42 58.95
587.000 -25.38 58.79
588.000 -25.03 58.88
589.000 -25.01 58.88
590.000 -25.02 58.85
591.000 -24.93 58.88
592.000 -24.92 58.87
593.000 -24.90 58.89
594.000 -24.85 58.89
595.000 -24.83 58.88
596.000 -24.81 58.88
597.000 -24.75 58.86
598.000 -24.74 58.86
599.000 -24.71 58.85
600.000 -24.59 58.86
601.000 -24.56 58.91
602.000 -24.58 58.90
603.000 -24.51 58.93
604.000 -24.44 58.93
605.000 -24.43 58.90
606.000 -24.29 58.85
607.000 -24.01 58.83
