 Masse A  
t x y 
500.000 12.31 57.52
501.000 12.27 57.50
502.000 12.26 57.62
503.000 12.17 57.46
504.000 12.08 57.56
505.000 12.08 57.59
506.000 11.99 57.49
507.000 11.92 57.56
508.000 11.80 57.43
509.000 11.73 57.49
510.000 11.70 57.49
511.000 11.67 57.44
512.000 11.59 57.52
513.000 11.43 57.51
514.000 10.95 57.57
515.000 10.83 57.48
516.000 10.60 57.41
517.000 10.64 57.57
518.000 10.54 57.45
519.000 10.20 57.51
520.000 9.845 57.51
521.000 9.924 57.41
522.000 9.757 57.53
523.000 9.745 57.43
524.000 9.239 57.59
525.000 8.972 57.60
526.000 8.602 57.52
527.000 8.650 57.60
528.000 8.412 57.46
529.000 8.052 57.44
530.000 7.988 57.49
531.000 7.663 57.33
532.000 7.719 57.40
533.000 7.355 57.56
534.000 7.085 57.52
535.000 6.694 57.44
536.000 6.559 57.46
537.000 6.101 57.54
538.000 6.001 57.43
539.000 5.690 57.41
540.000 5.551 57.56
541.000 5.174 57.26
542.000 4.816 57.57
543.000 4.751 57.39
544.000 4.380 57.47
545.000 3.976 57.46
546.000 3.901 57.46
547.000 3.689 57.71
548.000 3.376 57.48
549.000 2.845 57.49
550.000 2.573 57.62
551.000 2.076 57.43
552.000 1.848 57.51
553.000 1.886 57.51
554.000 1.487 57.54
555.000 1.088 57.75
556.000 0.685 57.37
557.000 0.518 57.55
558.000 -4.989E-2 57.45
559.000 -0.209 57.38
560.000 -0.382 57.37
561.000 -0.709 57.45
562.000 -1.176 57.43
563.000 -1.553 57.59
564.000 -1.988 57.44
565.000 -2.136 57.45
566.000 -2.584 57.61
567.000 -2.773 57.59
568.000 -3.234 57.52
569.000 -3.641 57.58
570.000 -3.981 57.67
571.000 -4.337 57.51
572.000 -4.269 57.49
573.000 -4.637 57.46
574.000 -5.074 57.48
575.000 -5.578 57.67
576.000 -5.987 57.55
577.000 -6.229 57.42
578.000 -6.278 57.45
579.000 -6.777 57.21
580.000 -7.427 57.46
581.000 -7.941 57.42
582.000 -8.043 57.42
583.000 -8.376 57.43
584.000 -8.446 57.46
585.000 -9.228 57.48
586.000 -9.557 57.53
587.000 -9.984 57.58
588.000 -10.15 57.62
589.000 -10.47 57.58
590.000 -10.76 57.55
591.000 -11.25 57.41
592.000 -11.62 57.41
593.000 -12.05 57.46
594.000 -12.32 57.36
595.000 -12.34 57.47
596.000 -12.80 57.50
597.000 -13.31 57.34
598.000 -13.65 57.60
599.000 -13.99 57.40
600.000 -14.10 57.31
601.000 -14.54 57.58
602.000 -15.15 57.50
603.000 -15.20 57.54
604.000 -15.60 57.44
605.000 -15.96 57.46
606.000 -16.24 57.42
607.000 -16.49 57.19
608.000 -16.86 57.41
609.000 -17.36 57.37
610.000 -17.48 57.49
611.000 -17.92 57.43
612.000 -18.26 57.27
613.000 -18.42 57.35
614.000 -18.77 57.51
615.000 -19.10 57.39
616.000 -19.32 57.37
617.000 -19.45 57.44
618.000 -20.12 57.39
619.000 -20.20 57.36
620.000 -20.49 57.40
621.000 -20.92 57.42
622.000 -21.35 57.34
623.000 -21.41 57.43
624.000 -21.64 57.43
625.000 -21.93 57.33
626.000 -22.14 57.40
627.000 -22.52 57.37
628.000 -22.81 57.49
629.000 -23.09 57.40
630.000 -23.15 57.34
631.000 -23.54 57.49
632.000 -23.88 57.37
633.000 -24.02 57.48
634.000 -24.36 57.43
635.000 -24.35 57.36
636.000 -24.50 57.40
637.000 -24.91 57.32
638.000 -25.03 57.42
639.000 -25.38 57.49
640.000 -25.68 57.61
641.000 -25.86 57.63
642.000 -26.04 57.48
643.000 -26.27 57.37
644.000 -26.26 57.36
645.000 -26.55 57.40
646.000 -26.85 57.45
647.000 -27.04 57.30
648.000 -27.29 57.27
649.000 -27.26 57.37
650.000 -27.33 57.30
651.000 -27.30 57.42
652.000 -27.64 57.53
653.000 -27.90 57.49
654.000 -28.07 57.46
655.000 -28.18 57.38
656.000 -28.20 57.47
657.000 -28.27 57.44
658.000 -28.26 57.40
659.000 -28.30 57.45
660.000 -28.45 57.47
661.000 -28.78 57.45
662.000 -28.94 57.42
663.000 -29.04 57.33
664.000 -29.05 57.41
665.000 -29.17 57.34
666.000 -29.22 57.35
667.000 -29.24 57.44
668.000 -29.31 57.30
669.000 -29.35 57.35
670.000 -29.35 57.34
671.000 -29.39 57.37
672.000 -29.53 57.55
673.000 -29.76 57.41
674.000 -29.84 57.47
675.000 -29.83 57.43
676.000 -29.86 57.43
677.000 -29.89 57.51
678.000 -29.87 57.36
679.000 -29.92 57.46
680.000 -29.90 57.44
681.000 -29.90 57.41
682.000 -29.90 57.45
683.000 -29.86 57.42
684.000 -29.85 57.54
685.000 -29.84 57.49
686.000 -29.80 57.39
687.000 -29.72 57.53
688.000 -29.77 57.41
689.000 -29.69 57.51
690.000 -29.64 57.49
691.000 -29.62 57.46
692.000 -29.45 57.54
693.000 -29.50 57.49
694.000 -29.43 57.56
695.000 -29.41 57.43
696.000 -28.76 57.44
697.000 -28.73 57.57
698.000 -28.71 57.48
699.000 -28.69 57.55
700.000 -28.60 57.53
701.000 -28.48 57.46
702.000 -28.42 57.45
703.000 -28.10 57.41
704.000 -27.79 57.53
705.000 -27.80 57.51
706.000 -27.68 57.50
707.000 -27.64 57.55
708.000 -27.51 57.40
709.000 -27.54 57.47
710.000 -27.46 57.47
711.000 -27.20 57.22
712.000 -26.80 57.60
713.000 -26.57 57.22
714.000 -26.45 57.57
715.000 -26.17 57.51
716.000 -25.99 57.44
717.000 -25.85 57.81
718.000 -25.55 57.52
719.000 -25.46 57.53
720.000 -25.17 57.35
721.000 -24.93 57.27
722.000 -24.63 57.47
723.000 -24.52 57.37
724.000 -24.20 57.42
725.000 -23.94 57.43
726.000 -23.79 57.34
727.000 -23.45 57.40
728.000 -23.16 57.28
729.000 -22.91 57.41
730.000 -22.56 57.39
731.000 -22.46 57.39
732.000 -22.19 57.47
733.000 -21.94 57.37
734.000 -21.66 57.40
735.000 -21.45 57.53
736.000 -21.27 57.20
737.000 -20.84 57.54
738.000 -20.51 57.37
739.000 -20.39 57.38
740.000 -19.92 57.45
741.000 -19.64 57.34
742.000 -19.50 57.74
743.000 -19.41 57.29
744.000 -18.83 57.35
745.000 -18.31 57.52
746.000 -18.12 57.17
747.000 -17.70 57.64
748.000 -17.59 57.46
749.000 -17.45 57.37
750.000 -17.14 57.39
751.000 -16.59 57.21
752.000 -16.28 57.48
753.000 -15.75 57.45
754.000 -15.47 57.46
755.000 -15.41 57.60
756.000 -14.87 57.42
757.000 -14.47 57.59
758.000 -14.31 57.32
759.000 -14.04 57.32
760.000 -13.72 57.54
761.000 -13.43 57.55
762.000 -13.27 57.58
763.000 -12.52 57.55
764.000 -12.51 57.38
765.000 -12.23 57.49
766.000 -11.74 57.36
767.000 -11.31 57.56
768.000 -10.83 57.51
769.000 -10.47 57.47
770.000 -10.37 57.69
771.000 -9.914 57.47
772.000 -9.621 57.53
773.000 -9.382 57.55
774.000 -8.839 57.41
775.000 -8.529 57.61
776.000 -8.558 57.31
777.000 -8.171 57.49
778.000 -7.732 57.45
779.000 -7.423 57.33
780.000 -6.712 57.63
781.000 -6.340 57.41
782.000 -6.092 57.51
783.000 -5.924 57.58
784.000 -5.627 57.45
785.000 -5.165 57.50
786.000 -4.638 57.48
787.000 -4.476 57.46
788.000 -4.391 57.60
789.000 -4.076 57.45
790.000 -3.656 57.72
791.000 -3.271 57.45
792.000 -2.713 57.48
793.000 -2.464 57.62
794.000 -2.321 57.36
795.000 -1.799 57.59
796.000 -1.789 57.48
797.000 -1.476 57.55
798.000 -1.144 57.51
799.000 -0.624 57.32
800.000 -0.262 57.31
801.000 -4.168E-2 57.42
802.000 0.118 57.34
803.000 0.350 57.72
804.000 0.651 57.43
805.000 1.194 57.69
806.000 1.448 57.63
807.000 1.651 57.39
808.000 1.941 57.60
809.000 2.020 57.41
810.000 2.424 57.57
811.000 2.564 57.59
812.000 2.680 57.42
813.000 3.433 57.62
814.000 3.655 57.51
815.000 3.909 57.59
816.000 4.148 57.41
817.000 4.391 57.21
818.000 4.467 57.68
819.000 4.760 57.38
820.000 5.085 57.42
821.000 5.272 57.54
822.000 5.626 57.30
823.000 5.853 57.61
824.000 6.152 57.33
825.000 6.189 57.48
826.000 6.228 57.52
827.000 6.484 57.45
828.000 6.643 57.53
829.000 7.027 57.52
830.000 7.429 57.59
831.000 7.493 57.64
832.000 7.642 57.15
833.000 7.954 57.61
834.000 8.035 57.45
835.000 8.154 57.55
836.000 8.254 57.63
837.000 8.234 57.47
838.000 8.432 57.83
839.000 8.497 57.56
840.000 8.748 57.43
841.000 9.016 57.81
842.000 9.213 57.29
843.000 9.387 57.61
844.000 9.572 57.51
845.000 9.571 57.44
846.000 9.703 57.71
847.000 9.954 57.24
848.000 10.04 57.78
849.000 10.09 57.50
850.000 10.12 57.40
851.000 10.17 57.63
852.000 10.33 57.37
853.000 10.32 57.53
