 Masse A  
t x y 
396.000 -8.588 57.34
397.000 -7.908 57.37
398.000 -7.332 57.41
399.000 -6.765 57.45
400.000 -6.068 57.32
401.000 -5.598 57.40
402.000 -4.833 57.38
403.000 -4.285 57.41
404.000 -3.960 57.51
405.000 -3.439 57.50
406.000 -2.832 57.46
407.000 -2.296 57.43
408.000 -1.557 57.49
409.000 -1.272 57.48
410.000 -0.593 57.22
411.000 7.658E-2 57.30
412.000 0.448 57.49
413.000 0.918 57.55
414.000 1.370 57.48
415.000 1.875 57.36
416.000 2.265 57.39
417.000 3.043 57.39
418.000 3.797 57.51
419.000 4.076 57.42
420.000 4.666 57.34
421.000 5.061 57.41
422.000 5.710 57.42
423.000 6.083 57.41
424.000 6.630 57.39
425.000 7.131 57.40
426.000 7.686 57.48
427.000 8.064 57.41
428.000 8.518 57.46
429.000 8.808 57.53
430.000 9.258 57.51
431.000 9.929 57.54
432.000 10.41 57.45
433.000 10.83 57.40
434.000 11.16 57.34
435.000 11.77 57.54
436.000 12.11 57.52
437.000 12.68 57.52
438.000 12.90 57.50
439.000 13.10 57.48
440.000 13.63 57.50
441.000 13.82 57.53
442.000 14.22 57.52
443.000 14.72 57.54
444.000 14.96 57.61
445.000 15.70 57.55
446.000 16.00 57.39
447.000 16.28 57.48
448.000 16.44 57.46
449.000 16.67 57.60
450.000 16.94 57.41
451.000 17.47 57.40
452.000 17.80 57.55
453.000 17.78 57.52
454.000 18.18 57.49
455.000 18.44 57.50
456.000 18.73 57.58
457.000 18.82 57.57
458.000 18.93 57.51
459.000 19.45 57.43
460.000 19.80 57.40
461.000 19.81 57.47
462.000 20.04 57.46
463.000 20.24 57.51
464.000 20.36 57.62
465.000 20.71 57.61
466.000 20.65 57.66
467.000 20.79 57.67
468.000 20.95 57.54
469.000 21.30 57.59
470.000 21.47 57.56
471.000 21.56 57.55
472.000 21.63 57.59
473.000 21.66 57.52
474.000 21.76 57.52
475.000 21.79 57.51
476.000 21.85 57.52
477.000 21.91 57.52
478.000 21.93 57.35
479.000 22.23 57.48
480.000 22.33 57.48
481.000 22.33 57.47
482.000 22.35 57.49
483.000 22.34 57.47
484.000 22.33 57.48
485.000 22.36 57.50
486.000 22.34 57.47
487.000 22.35 57.52
488.000 22.34 57.49
489.000 22.34 57.49
490.000 22.31 57.48
491.000 22.29 57.45
492.000 22.17 57.45
493.000 22.18 57.44
494.000 22.16 57.47
495.000 22.12 57.48
